F	,05	1.92193
F	50	2.72950
F	50,	1.98619
F	50,0	-0.00000
F	00	2.40228
F	,00	0.27331
F	0,00	0.12763
F	000	1.72598
F	,000	1.09967
F	0บ	0.05487
F	00บ	-0.00000
F	000บ	-0.00000
F	บา	2.92241
F	0บา	0.01396
F	00บา	-0.00000
F	 	5.10622
F	0 	2.25776
F	 1	2.28104
F	zโ	3.57608
F	szโ	3.57608
F	โบ	2.51177
F	โบส	0.25388
F	โบสถ	3.04485
F	์	4.92112
F	ถ์	4.24068
F	สถ์	3.57662
F	บสถ์	3.33718
F	์ร	2.86792
F	ระ	4.44644
F	์ระ	2.52193
F	ะเ	4.16749
F	ระเ	3.58770
F	เบ	3.38114
F	ะเบ	2.00498
F	ระเบ	1.70634
F	บี	2.35214
F	เบี	1.01848
F	ะเบี	0.10802
F	บีย	2.16510
F	เบีย	2.24078
F	บียง	3.07018
F	งม	2.97041
F	ยงม	3.09224
F	ียงม	2.94684
F	มร	4.43705
F	งมร	2.19969
F	ฑ	2.98408
F	ป	4.35943
F	ฑป	2.41938
F	ปพ	3.06956
F	ื	1.62175
F	พื	1.14984
F	ื้	0.79634
F	พื้	0.05336
F	้น	4.99701
F	ื้น	4.58331
F	พื้น	4.29852
F	น 	4.45415
F	้น 	3.58866
F	ื้น 	3.00000
F	ไ	3.11796
F	 ไ	3.07782
F	ไพ	2.15901
F	ห	3.55726
F	พห	2.97522
F	หา	4.19197
F	zข	2.64003
F	szข	2.64003
F	ุ	4.73003
F	ขุ	1.18242
F	zขุ	0.50326
F	szขุ	0.50326
F	ุน	4.68758
F	ขุน	3.68343
F	zขุน	2.15564
F	นห	3.14064
F	ุนห	1.97177
F	ขุนห	1.15205
F	หน	3.60614
F	นหน	2.31533
F	ุนหน	0.65002
F	ึ	1.85858
F	นึ	0.50675
F	หนึ	-0.00000
F	นหนึ	-0.00000
F	ึ่	0.00833
F	นึ่	-0.00000
F	หนึ่	-0.00000
F	ึ่ง	4.60315
F	นึ่ง	4.69494
F	งด	3.40340
F	่งด	3.00372
F	ึ่งด	2.67630
F	ดู	4.55544
F	งดู	4.08306
F	่งดู	3.46328
F	ูถ	2.90893
F	ดูถ	2.25857
F	งดูถ	1.92193
F	ถม	4.30150
F	มึ	1.47287
F	ึง	4.72255
F	มึง	4.10844
F	งค	3.71687
F	ึงค	3.13832
F	มึงค	1.92193
F	คึ	0.76420
F	งล	3.67575
F	ึงล	3.29446
F	ล่	2.55184
F	งล่	1.99270
F	ำ	4.67457
F	่ำ	4.31859
F	ล่ำ	3.76356
F	ำท	3.10778
F	่ำท	2.08147
F	ทู	1.01126
F	ำทู	0.72286
F	ู่	4.52459
F	ู่ด	2.13115
F	่ดู	3.82922
F	ู่ดู	3.79509
F	ูท	3.07884
F	ดูท	2.48496
F	ทะ	2.60327
F	ะม	2.84916
F	ทะม	0.97095
F	สง	3.74975
F	งว	2.45698
F	สงว	0.40771
F	งวน	4.10009
F	สงวน	4.00227
F	นส	4.14392
F	วนส	3.50409
F	ั	3.58637
F	สั	2.95111
F	นสั	2.87374
F	วนสั	1.50000
F	ัต	2.71876
F	สัต	1.43114
F	นสัต	1.72647
F	ตย	1.32521
F	ัตย	1.14342
F	สัตย	0.78939
F	ย์	4.81316
F	ตย์	4.40715
F	ัตย์	3.89467
F	์ต	3.22209
F	ย์ต	2.48650
F	ตย์ต	1.35164
F	ตั	1.95650
F	์ตั	1.23045
F	ัด	4.53445
F	ตัด	3.83572
F	ดห	2.94159
F	ัดห	2.90539
F	ตัดห	1.86763
F	ห่	2.77817
F	ดห่	1.90564
F	่ว	3.78507
F	ห่ว	0.59072
F	วง	4.80146
F	่วง	4.39538
F	ห่วง	3.07782
F	งบ	3.92167
F	วงบ	2.75899
F	่วงบ	0.72193
F	บ่	2.94682
F	งบ่	2.93441
F	วงบ่	0.72193
F	บ่ว	0.46900
F	งบ่ว	-0.00000
F	บ่วง	3.41938
F	วงม	2.17687
F	่วงม	0.46900
F	งมา	4.46524
F	วงมา	3.41175
F	มาร	3.92462
F	งมาร	3.56515
